accesstime,page,username,COI,activesince
5/1/18,Article:East_Africa_Conflict_Tracker,Tom Freeman,3,1/21/18
5/1/18,Main_Page,Jack Shelton,1,1/12/18
5/1/18,Main_Page,Elijah Potter,5,9/25/17
5/1/18,Main_Page,Genevieve Bowman,1,7/14/17
5/1/18,Article:FP_Map,Emma Pope,1,1/14/16
5/1/18,Main_Page,Jack Shelton,1,1/12/18
5/1/18,Main_Page,Mindy Wood,1,11/19/17
5/1/18,Main_Page,Mindy Wood,1,11/19/17
5/1/18,Main_Page,Sylvia Allen,9,4/12/18
5/1/18,Article:351st_Civil_Affairs_Command_Portal,Sylvia Allen,9,4/12/18
5/1/18,Main_Page,Roman Reyes,1,11/26/17
5/1/18,Main_Page,Roman Reyes,1,11/26/17
5/1/18,Main_Page,Mindy Wood,1,11/19/17
5/1/18,Article:2018_Parliamentary_Elections_in_Afghanistan,Mona Hines,1,2/12/18
5/1/18,Main_Page,Mona Hines,1,2/12/18
5/1/18,Main_Page,Elijah Potter,5,9/25/17
5/1/18,Main_Page,Mona Hines,1,2/12/18
5/1/18,Main_Page,Tammy Mason,1,5/6/17
5/1/18,Main_Page,Mona Hines,1,2/12/18
5/1/18,Main_Page,Mona Hines,1,2/12/18
5/1/18,Main_Page,Mona Hines,1,2/12/18
5/1/18,Article:Conflict_Tracker_Data_Portal,Mona Hines,1,2/12/18
5/1/18,Article:TF_Southwest,Jack Shelton,1,1/12/18
5/1/18,Main_Page,Jack Shelton,1,1/12/18
5/1/18,Main_Page,Mindy Wood,1,11/19/17
5/1/18,Article:Conflict_Tracker,Mindy Wood,1,11/19/17
5/1/18,Main_Page,Kristi Mendez,1,8/10/17
5/1/18,Article:Conflict_Tracker,Kristi Mendez,1,8/10/17
5/1/18,Main_Page,Mindy Wood,1,11/19/17
5/1/18,Main_Page,Rochelle Garcia,5,12/23/17
5/1/18,Article:Weekly_Iraq_Brief,Rochelle Garcia,5,12/23/17
5/1/18,Main_Page,Rochelle Garcia,8,12/23/17
5/1/18,Article:Islamic_State_in_the_Greater_Sahara_(ISGS),Rochelle Garcia,8,12/23/17
5/1/18,Article:NATO_Daily_Open_Source_Reports,Rochelle Garcia,8,12/23/17
5/1/18,Article:Ghana_Infrastructure,Rebecca Lyons,3,3/17/17
5/1/18,Article:Oil_and_Natural_Gas_in_Iraq,Carl Waters,5,12/9/17
5/1/18,Article:Oil_and_Natural_Gas_in_Iraq,Carl Waters,5,12/9/17
5/1/18,Article:Oil_and_Natural_Gas_in_Iraq,Carl Waters,5,12/9/17
5/1/18,Main_Page,Sylvia Allen,9,4/12/18
5/1/18,Main_Page,Sylvia Allen,9,4/12/18
5/1/18,Article:Mission_Planning_for_Iraq_F16_Program,Todd Parker,6,11/10/16
5/1/18,Main_Page,Norman Sherman,4,11/2/17
5/1/18,Main_Page,Kim Brock,5,2/24/18
5/1/18,Article:Mission_Planning_for_Iraq_F16_Program,Todd Parker,6,11/10/16
5/1/18,Main_Page,Marcos May,8,4/12/18
5/1/18,Main_Page,Marcos May,9,4/12/18
5/1/18,Main_Page,Kristi Mendez,1,8/10/17
5/1/18,Article:2018_Parliamentary_Elections_in_Afghanistan,Kristi Mendez,1,8/10/17
5/1/18,Article:2018_Elections_in_Iraq,Kim Brock,5,2/24/18
5/1/18,Main_Page,Eva Harvey,5,1/17/18
5/1/18,Main_Page,Jacquelyn Mckenzie,8,4/12/18
5/1/18,Main_Page,Maria Warren,8,4/12/18
5/1/18,Article:Map_Portal,Maria Warren,8,4/12/18
5/1/18,Main_Page,Maria Warren,9,4/12/18
5/1/18,Main_Page,Maria Warren,9,4/12/18
5/1/18,Article:North_Korea,Maria Warren,8,4/12/18
5/1/18,Main_Page,Maria Warren,9,4/12/18
5/1/18,Main_Page,Max Quinn,2,4/27/16
5/1/18,Article:North_Korea,Maria Warren,8,4/12/18
5/1/18,Main_Page,Verna Parks,1,1/30/18
5/1/18,Main_Page,Julio Bailey,7,4/1/18
5/1/18,Main_Page,Deborah Wise,3,3/30/18
5/1/18,Main_Page,Laurence Jones,5,10/16/17
5/1/18,Main_Page,Deborah Wise,3,3/30/18
5/1/18,Main_Page,Deborah Wise,8,3/30/18
5/1/18,Article:Collaborations,Deborah Wise,8,3/30/18
5/1/18,Article:IED_Reporting,Laurence Jones,5,10/16/17
5/1/18,Main_Page,Mindy Wood,1,11/19/17
5/1/18,Main_Page,Laurence Jones,5,10/16/17
5/1/18,Main_Page,Mona Hines,1,2/12/18
5/1/18,Article:Kurdistan,Carl Waters,5,12/9/17
5/1/18,Article:Iran_and_Iraq,Carl Waters,5,12/9/17
5/1/18,Article:IED_Reporting,Laurence Jones,5,10/16/17
5/1/18,Main_Page,Mona Hines,1,2/12/18
5/1/18,Main_Page,Gloria Glover,9,1/2/16
5/1/18,Main_Page,Mona Hines,1,2/12/18
5/1/18,Article:Conflict_Tracker,Mona Hines,1,2/12/18
5/1/18,Article:Conflict_Tracker_Data_Portal,Mona Hines,1,2/12/18
5/1/18,Main_Page,Amy Bridges,1,12/11/17
5/1/18,Main_Page,Amy Bridges,1,12/11/17
5/1/18,Main_Page,Amy Bridges,1,12/11/17
5/1/18,Main_Page,Max Quinn,2,4/27/16
5/1/18,Main_Page,Alfonso Tate,5,8/26/17
5/1/18,Article:2018_Elections_in_Iraq,Alfonso Tate,5,8/26/17
5/1/18,Main_Page,Sabrina Dennis,12,9/2/17
5/1/18,Main_Page,Shane Morton,1,3/20/18
5/1/18,Main_Page,Dallas Reeves,5,7/12/17
5/1/18,Main_Page,Angie Tran,11,1/10/18
5/1/18,Main_Page,Edna Park,11,3/4/18
5/1/18,Main_Page,Edna Park,11,3/4/18
5/1/18,Main_Page,Dianne Mccormick,1,2/7/17
5/1/18,Main_Page,Angie Tran,11,1/10/18
5/1/18,Article:Operation_Olive_Branch,Angie Tran,11,1/10/18
5/1/18,Article:Kurdish_Brotherhood_Coordinating_Committee,Angie Tran,11,1/10/18
5/1/18,Article:Turkish_Military_Action_in_Syria,Angie Tran,11,1/10/18
5/1/18,Article:Euphrates_Shield,Angie Tran,11,1/10/18
5/1/18,Main_Page,Angie Tran,1,1/10/18
5/1/18,Main_Page,Aubrey Gutierrez,1,9/9/16
5/1/18,"Article:Counter_Drone_Tactics,_Techniques,_and_Procedures",Angie Tran,1,1/10/18
5/1/18,Main_Page,Max Quinn,2,4/27/16
5/1/18,Main_Page,Nora Norris,1,11/1/16
5/1/18,Main_Page,Roderick Owen,12,7/6/17
5/1/18,Article:Movement_Corridors_In_and_Out_of_Ukraine,Roderick Owen,12,7/6/17
5/1/18,Article:Movement_Corridors_In_and_Out_of_Ukraine,Roderick Owen,12,7/6/17
5/1/18,Article:Russian_Exercises_Portal,Roderick Owen,12,7/6/17
5/1/18,Main_Page,Stewart Vargas,2,5/6/16
5/1/18,Main_Page,Nora Norris,1,11/1/16
5/1/18,Main_Page,Shane Morton,1,3/20/18
5/1/18,Main_Page,Julio Bailey,7,4/1/18
5/1/18,Main_Page,Kristi Mendez,1,8/10/17
5/1/18,Article:Conflict_Tracker,Kristi Mendez,1,8/10/17
5/1/18,"Article:Train,_Advise,_and_Assist_Commands",Krystal Manning,1,4/3/18
5/1/18,Article:Afghan_National_Army,Krystal Manning,1,4/3/18
5/1/18,Main_Page,Luke Flores,5,2/26/17
5/1/18,Main_Page,Luke Flores,5,2/26/17
5/1/18,Main_Page,Stewart Vargas,2,5/6/16
5/1/18,Main_Page,Rosa Abbott,2,6/16/16
5/1/18,Main_Page,Erica Jackson,5,7/10/14
5/1/18,Article:Nangarhar_Textiles_and_Carpets,Krystal Manning,1,4/3/18
5/1/18,Article:Nangarhar_DoWA,Krystal Manning,1,4/3/18
5/1/18,"Article:Nangarhar_Department_of_Agriculture,_Irrigation_and_Livestock",Krystal Manning,1,4/3/18
5/1/18,Article:Nangarhar_Department_of_Women's_Affairs,Krystal Manning,1,4/3/18
5/1/18,Article:Nangarhar_Agriculture,Krystal Manning,1,4/3/18
5/1/18,"Article:Nangarhar_Department_of_Agriculture,_Irrigation_and_Livestock",Krystal Manning,1,4/3/18
5/1/18,Article:Agriculture_Portal,Krystal Manning,1,4/3/18
5/1/18,Article:Nangarhar_Agriculture,Krystal Manning,1,4/3/18
5/1/18,Main_Page,Andrew Kelley,8,4/8/18
5/1/18,Article:Foreign_Fighter_Migration_Routes,Andrew Kelley,8,4/8/18
5/1/18,Article:Foreign_Fighter_Migration_Routes,Andrew Kelley,8,4/8/18
5/1/18,Article:Economy_of_Tajikistan,Andrew Kelley,8,4/8/18
5/1/18,Main_Page,Morris Ortega,5,1/26/18
5/1/18,Article:Tajikistan,Andrew Kelley,8,4/8/18
5/1/18,Article:Afghanistan_-_Tajikistan_Relations,Andrew Kelley,8,4/8/18
5/1/18,Main_Page,Max Quinn,2,4/27/16
5/1/18,Article:Tajikistan,Andrew Kelley,8,4/8/18
5/1/18,Article:2018_Elections_in_Iraq,Margie Nunez,5,4/11/18
5/1/18,Main_Page,Maureen Walsh,1,3/9/18
5/1/18,Main_Page,Maureen Walsh,1,3/9/18
5/1/18,Main_Page,Maureen Walsh,1,3/9/18
5/1/18,Main_Page,Maureen Walsh,1,3/9/18
5/1/18,Main_Page,Edna Park,11,3/4/18
5/1/18,Main_Page,Andrew Kelley,8,4/8/18
5/1/18,Article:Mission_Planning_for_Iraq_F16_Program,Todd Parker,6,11/10/16
5/1/18,Main_Page,Maureen Walsh,11,3/9/18
5/1/18,Article:Mission_Planning_for_Iraq_F16_Program,Todd Parker,6,11/10/16
5/1/18,Main_Page,Loren Doyle,1,4/7/18
5/1/18,Main_Page,Maureen Walsh,1,3/9/18
5/1/18,Main_Page,Maureen Walsh,1,3/9/18
5/1/18,Main_Page,Pat Schmidt,9,6/23/16
5/1/18,Article:North_Korea,Pat Schmidt,8,6/23/16
5/1/18,Main_Page,Pam Burton,4,9/4/16
5/1/18,Article:2018_Parliamentary_Elections_in_Afghanistan,Terri Baldwin,1,9/28/17
5/1/18,Main_Page,Daniel Harrington,7,3/25/18
5/1/18,Main_Page,Pat Schmidt,9,6/23/16
5/1/18,Article:Asia_Pacific_Counter-IED_Fusion_Center_(APCFC)_Portal,Pat Schmidt,8,6/23/16
5/1/18,Main_Page,Pat Schmidt,9,6/23/16
5/1/18,Article:2014_Runoff_Election,Terri Baldwin,1,9/28/17
5/1/18,Article:Areas_of_Influence_and_Control_in_Yemen,Pam Burton,4,9/4/16
5/1/18,Article:Rohingya_Refugees,Pat Schmidt,8,6/23/16
5/1/18,Article:Shi'a_Militias_Portal,Joey Allison,5,4/22/16
5/1/18,Main_Page,Joey Allison,5,4/22/16
5/1/18,Main_Page,Joey Allison,5,4/22/16
5/1/18,Article:Shi'a_Militias_Portal,Joey Allison,5,4/22/16
5/1/18,Main_Page,Erica Jackson,5,7/10/14
5/1/18,Article:Asayb_Ahl_al-Haq,Joey Allison,5,4/22/16
5/1/18,Article:Kata'ib_Hezbollah,Joey Allison,5,4/22/16
5/1/18,Article:Harakat_al-Nujaba,Joey Allison,5,4/22/16
5/1/18,Article:Map_Portal,Terri Baldwin,1,9/28/17
5/1/18,Main_Page,Irvin Paul,5,6/23/16
5/1/18,Article:Map_Portal,Terri Baldwin,1,9/28/17
5/1/18,Main_Page,Jeannie Jensen,5,5/6/17
5/1/18,Article:Conflict_Tracker,Audrey Byrd,1,2/22/18
5/1/18,Main_Page,Terri Baldwin,1,9/28/17
5/1/18,Main_Page,Terri Baldwin,1,9/28/17
5/1/18,Article:Islamic_State_in_Afghanistan,Terri Baldwin,1,9/28/17
5/1/18,Main_Page,Bradford Huff,1,5/18/17
5/1/18,Main_Page,Alex Webster,1,11/18/17
5/1/18,Main_Page,Bradford Huff,1,5/18/17
5/1/18,Main_Page,Sidney Hall,8,7/17/17
5/1/18,Main_Page,Shirley Hicks,1,3/16/18
5/1/18,Main_Page,Jackie Adams,11,4/3/18
5/1/18,Main_Page,William Burgess,5,3/11/18
5/1/18,Article:Weekly_Iraq_Brief,William Burgess,5,3/11/18
5/1/18,Main_Page,Matthew Singleton,8,3/29/18
5/1/18,Main_Page,Karen Steele,5,11/28/15
5/1/18,Article:Antiquities_and_Cultural_Heritage_in_Iraq,Karen Steele,5,11/28/15
5/1/18,Article:2018_Parliamentary_Elections_in_Afghanistan,Shannon Morales,1,3/5/16
5/1/18,Article:Map_Portal,Shirley Hicks,1,3/16/18
5/1/18,Article:Additional_Static_Maps,Shirley Hicks,1,3/16/18
5/1/18,Article:Kirkuk,Andres Weaver,5,3/3/18
5/1/18,Article:Gender-Based_Violence_in_Iraq,Karen Steele,5,11/28/15
5/1/18,Main_Page,Bradford Huff,1,5/18/17
5/1/18,Article:Conflict_Tracker,Bradford Huff,1,5/18/17
5/1/18,Main_Page,Bradford Huff,1,5/18/17
5/1/18,Main_Page,Joey Allison,5,4/22/16
5/1/18,Main_Page,Pam Burton,3,9/4/16
5/1/18,Main_Page,Erika Rogers,1,6/5/16
5/1/18,Main_Page,Erika Rogers,1,6/5/16
5/1/18,Main_Page,Bradford Huff,11,5/18/17
5/1/18,Main_Page,Susan Mccarthy,1,5/3/13
5/1/18,Main_Page,Sam Murray,1,8/24/15
5/1/18,Main_Page,Sam Murray,1,8/24/15
5/1/18,Main_Page,Sam Murray,1,8/24/15
5/1/18,Main_Page,Claudia Castillo,3,10/8/17
5/1/18,Main_Page,Pat Schmidt,9,6/23/16
5/1/18,Article:Anglophone_Separatist_Groups_in_Cameroon,Claudia Castillo,3,10/8/17
5/1/18,Article:HoA_SitMap,Claudia Castillo,3,10/8/17
5/1/18,Article:Country_Portal,Claudia Castillo,3,10/8/17
5/1/18,Article:Camp_Lemonnier,Claudia Castillo,3,10/8/17
5/1/18,Article:Djibouti,Claudia Castillo,3,10/8/17
5/1/18,Article:Foreign_Direct_Investments_in_Djibouti,Claudia Castillo,3,10/8/17
5/1/18,Article:Government_in_Djibouti,Claudia Castillo,3,10/8/17
5/1/18,Main_Page,Claudia Castillo,3,10/8/17
5/1/18,Article:Country_Portal,Claudia Castillo,3,10/8/17
5/1/18,Article:Foreign_Direct_Investments_in_Djibouti,Claudia Castillo,3,10/8/17
5/1/18,Main_Page,Debra King,9,10/1/17
5/1/18,Main_Page,Byron Bowen,2,3/2/18
5/1/18,Main_Page,Joanna Osborne,1,4/1/17
5/1/18,Article:Map_Portal,Joanna Osborne,1,4/1/17
5/1/18,Article:Conflict_Tracker,Joanna Osborne,1,4/1/17
5/1/18,Article:Historical_Conflict_Tracker,Joanna Osborne,1,4/1/17
5/1/18,Main_Page,Jeanette Schwartz,4,4/5/18
5/1/18,Article:Houthi_Leadership,Jeanette Schwartz,4,4/5/18
5/1/18,Main_Page,Jorge Burns,3,1/20/18
5/1/18,Main_Page,Jeanette Schwartz,4,4/5/18
5/1/18,Article:Newsroom_Yemen,Jeanette Schwartz,4,4/5/18
5/1/18,Main_Page,Jeff Dixon,11,8/30/15
5/1/18,Article:Map_Portal,Shirley Hicks,1,3/16/18
5/1/18,Article:Additional_Static_Maps,Shirley Hicks,1,3/16/18
5/1/18,Article:Map_Portal,Shirley Hicks,1,3/16/18
5/1/18,Article:Additional_Static_Maps,Shirley Hicks,1,3/16/18
5/1/18,Main_Page,Teri Holland,5,9/9/17
5/1/18,Article:Salah_al-Din,Teri Holland,5,9/9/17
5/1/18,Main_Page,Teri Holland,5,9/9/17
5/1/18,Article:Iraq_Running_Estimates,Teri Holland,5,9/9/17
5/1/18,Article:Salah_al-Din,Teri Holland,5,9/9/17
5/1/18,Article:2018_Elections_in_Iraq,Lynda Erickson,5,4/3/18
5/1/18,Main_Page,Lynda Erickson,5,4/3/18
5/1/18,Article:Infrastructure,Lynda Erickson,5,4/3/18
5/1/18,Article:Infrastructure,Lynda Erickson,5,4/3/18
5/1/18,Article:Mosul_Dam,Lynda Erickson,5,4/3/18
5/1/18,Main_Page,Megan Bryant,1,4/8/18
5/1/18,Article:Conflict_Tracker_Data_Portal,Megan Bryant,1,4/8/18
5/1/18,Article:Country_Portal,Claudia Castillo,3,10/8/17
5/1/18,Article:Djibouti,Claudia Castillo,3,10/8/17
5/1/18,Main_Page,Maureen Walsh,1,3/9/18
5/1/18,Main_Page,Ed Mcdonald,3,1/15/17
5/1/18,Main_Page,Ed Mcdonald,3,1/15/17
5/1/18,Article:West_Africa_Conflict_Tracker,Ed Mcdonald,3,1/15/17
5/1/18,Main_Page,Antonia Weber,3,3/22/18
5/1/18,Main_Page,Ed Mcdonald,3,1/15/17
5/1/18,Article:Key_Events_Tracking,Ed Mcdonald,3,1/15/17
5/1/18,Article:Wildlife_Trafficking_in_Mali,Ed Mcdonald,3,1/15/17
5/1/18,Main_Page,Leslie Fleming,8,2/26/17
5/1/18,Main_Page,Dallas Reeves,5,7/12/17
5/1/18,Article:2018_Elections_in_Iraq,Dallas Reeves,5,7/12/17
5/1/18,Article:Al-Qaida_in_Iraq,Joey Allison,5,4/22/16
5/1/18,Article:ISIS,Joey Allison,5,4/22/16
5/1/18,Article:ISIS_Strategy_and_Tactics,Joey Allison,5,4/22/16
5/1/18,Article:ISIS_and_Social_Media,Joey Allison,5,4/22/16
5/1/18,Main_Page,Bradford Huff,12,5/18/17
5/1/18,Main_Page,Susan Mccarthy,1,5/3/13
5/1/18,Main_Page,Roberto Obrien,1,3/15/18
5/1/18,Article:Elections,Roberto Obrien,1,3/15/18
5/1/18,Article:2014_Presidential_Elections,Roberto Obrien,1,3/15/18
5/1/18,Main_Page,Meghan Maldonado,11,2/11/18
5/1/18,Main_Page,Harriet Zimmerman,1,2/5/16
5/1/18,Main_Page,Harriet Zimmerman,5,2/5/16
5/1/18,Main_Page,Shannon Morales,1,3/5/16
5/1/18,Article:Conflict_Tracker,Shannon Morales,1,3/5/16
5/1/18,Main_Page,Patricia Thomas,8,3/31/17
5/1/18,Main_Page,Shannon Morales,1,3/5/16
5/1/18,Main_Page,Patricia Thomas,8,3/31/17
5/1/18,Article:Imagery_Portal,Shannon Morales,1,3/5/16
5/1/18,Main_Page,Shannon Morales,1,3/5/16
5/1/18,Article:Mali,Anita Harrison,8,3/10/18
5/1/18,Main_Page,Shannon Morales,4,3/5/16
5/1/18,Article:Map_Portal,Shannon Morales,4,3/5/16
5/1/18,Main_Page,Shannon Morales,4,3/5/16
5/1/18,Main_Page,Shannon Morales,7,3/5/16
5/1/18,Article:Map_Portal,Shannon Morales,7,3/5/16
5/1/18,Article:North_Korea,Anita Harrison,8,3/10/18
5/1/18,Article:Regional_Maps,Shannon Morales,7,3/5/16
5/1/18,Main_Page,Levi Rodriquez,1,9/19/17
5/1/18,Main_Page,Rick Vaughn,1,9/17/17
5/1/18,Main_Page,Rick Vaughn,3,9/17/17
5/1/18,Main_Page,Levi Rodriquez,1,9/19/17
5/1/18,Article:Africa_EOD_and_C-IED_Portal,Rick Vaughn,3,9/17/17
5/1/18,Main_Page,Levi Rodriquez,1,9/19/17
5/1/18,Article:Conflict_Tracker,Levi Rodriquez,1,9/19/17
5/1/18,Article:Conflict_Tracker,Levi Rodriquez,1,9/19/17
5/1/18,Main_Page,Levi Rodriquez,1,9/19/17
5/1/18,Article:Wheat,Krystal Manning,1,4/3/18
5/1/18,Main_Page,Patricia Thomas,8,3/31/17
5/1/18,Main_Page,Patricia Thomas,8,3/31/17
5/1/18,Article:Global_Health_and_Infectious_Diseases_Portal,Rene Becker,8,8/27/15
5/1/18,Main_Page,Erica Jackson,5,7/10/14
5/1/18,Article:Armed_Groups_in_Democratic_Republic_of_the_Congo,Joanna Osborne,3,4/1/17
5/1/18,Main_Page,Salvatore Fernandez,3,10/21/17
5/1/18,Article:Boko_Haram_in_Cameroon,Salvatore Fernandez,3,10/21/17
5/1/18,Article:Lake_Chad_Basin_Working_Group,Salvatore Fernandez,3,10/21/17
5/1/18,Main_Page,Kendra Newman,7,1/27/18
5/1/18,Article:Multinational_Force_and_Observers,Kendra Newman,7,1/27/18
5/1/18,Main_Page,Marine Glaser,3,4/5/18
5/1/18,Article:Country_Portal,Marine Glaser,3,4/5/18
5/1/18,Article:North_Africa_Conflict_Tracker,Marine Glaser,3,4/5/18
5/1/18,Article:Group_of_Five_for_the_Sahel,Marine Glaser,3,4/5/18
5/1/18,Article:Mauritania,Marine Glaser,3,4/5/18
5/1/18,Article:Violent_Extremist_Organizations_in_Mauritania,Marine Glaser,3,4/5/18
5/1/18,Main_Page,Debra King,9,10/1/17
5/1/18,Article:Information_Sources_in_Kosovo,Patricia Thomas,12,3/31/17
5/1/18,Article:Energy_Supplies_and_Infrastructure_in_Europe,Patricia Thomas,12,3/31/17
5/1/18,Main_Page,Chantal Douglass,8,11/17/17
5/1/18,Main_Page,Tifany Mackie,5,2/21/18
5/1/18,Article:2018_Elections_in_Iraq,Tifany Mackie,5,2/21/18
5/1/18,Main_Page,Asia Sparrow,1,3/29/18
5/1/18,Article:Conflict_Tracker,Asia Sparrow,1,3/29/18
5/1/18,Main_Page,Serita Fischer,1,3/25/18
5/1/18,Article:2018_Parliamentary_Elections_in_Afghanistan,Serita Fischer,1,3/25/18
5/1/18,Main_Page,Min Tice,11,3/26/18
5/1/18,Main_Page,Min Tice,12,3/26/18
5/1/18,Main_Page,Min Tice,11,3/26/18
5/1/18,Main_Page,Sherrill Burkholder,5,10/8/17
5/1/18,Article:Weekly_Iraq_Brief,Sherrill Burkholder,5,10/8/17
5/1/18,Main_Page,Min Tice,11,3/26/18
5/1/18,Article:2018_Elections_in_Iraq,Sherrill Burkholder,5,10/8/17
5/1/18,Main_Page,Sidney Hall,4,7/17/17
5/1/18,Article:Map_Portal,Sherrill Burkholder,5,10/8/17
5/1/18,Article:Houthi_Leadership,Sidney Hall,4,7/17/17
5/1/18,Main_Page,Min Tice,5,3/26/18
5/1/18,Article:Kosovo,Patricia Thomas,12,3/31/17
5/1/18,Article:Antiquities_and_Cultural_Heritage_in_Iraq,Min Tice,5,3/26/18
5/1/18,Article:Kosovo,Patricia Thomas,12,3/31/17
5/1/18,Main_Page,Min Tice,5,3/26/18
5/1/18,Main_Page,Damien Gamboa,1,12/29/17
5/1/18,Article:Exercises,Jacquelyn Mckenzie,8,4/12/18
5/1/18,Main_Page,Sidney Hall,4,7/17/17
5/1/18,Article:Southern_Movement_in_Yemen,Sidney Hall,4,7/17/17
5/1/18,Main_Page,Deborah Wise,8,3/30/18
5/1/18,Main_Page,Bambi Ferrer,1,3/13/18
5/1/18,Main_Page,Arletta Sayre,1,4/5/18
5/1/18,Article:Dari_Lexicon,Arletta Sayre,1,4/5/18
5/1/18,Main_Page,Sam Murray,1,8/24/15
5/1/18,Main_Page,Sam Murray,8,8/24/15
5/1/18,Article:Department_of_State_Bureau_of_Conflict_and_Stabilization_Operations_(CSO),Sam Murray,8,8/24/15
5/1/18,Article:Mali,Pam Burton,3,9/4/16
5/1/18,Main_Page,Micheal Hales,7,12/23/17
5/1/18,Main_Page,Micheal Hales,8,12/23/17
5/1/18,Article:Exercises,Micheal Hales,8,12/23/17
5/1/18,Article:CSO_-_Political_and_Election_Violence,Sam Murray,8,8/24/15
5/1/18,Article:CSO_-_Countering_Violent_Extremism_(CVE),Sam Murray,8,8/24/15
5/1/18,Main_Page,Micheal Hales,4,12/23/17
5/1/18,Article:UAE,Micheal Hales,4,12/23/17
5/1/18,Article:Weekly_Iraq_Brief,Mohammad Berman,5,2/23/18
5/1/18,Main_Page,Gilberte Luciano,8,2/18/18
5/1/18,Article:Military_and_Security_of_the_UAE,Micheal Hales,4,12/23/17
5/1/18,Main_Page,Micheal Hales,4,12/23/17
5/1/18,Article:Department_of_State_Bureau_of_Conflict_and_Stabilization_Operations_(CSO),Sam Murray,8,8/24/15
5/1/18,Main_Page,Gilberte Luciano,8,2/18/18
5/1/18,Main_Page,Gilberte Luciano,8,2/18/18
5/1/18,Main_Page,Gilberte Luciano,8,2/18/18
5/1/18,Main_Page,Loyce Dodd,5,11/11/17
5/1/18,Main_Page,Mohammad Berman,5,2/23/18
5/1/18,Article:Weekly_Iraq_Brief,Mohammad Berman,5,2/23/18
5/1/18,Article:Weekly_Iraq_Brief,Mohammad Berman,5,2/23/18
5/1/18,Main_Page,Mohammad Berman,5,2/23/18
5/1/18,Article:Conflict_Tracker,Mohammad Berman,5,2/23/18
5/1/18,Article:UAE,Micheal Hales,4,12/23/17
5/1/18,Article:Conflict_Tracker,Janita Withers,5,10/15/16
5/1/18,Article:Southern_Movement_in_Yemen,Sam Murray,8,8/24/15
5/1/18,Article:State_Partnership_Program_Tunisia,Sam Murray,8,8/24/15
5/1/18,Article:JMEDICC_Portal,Sam Murray,8,8/24/15
5/1/18,Main_Page,Sam Murray,7,8/24/15
5/1/18,Article:Politics_and_Governance_in_the_UAE,Micheal Hales,4,12/23/17
5/1/18,Main_Page,Lauren Bader,7,2/26/16
5/1/18,Main_Page,Brendon Schweitzer,5,3/28/13
5/1/18,Main_Page,Mandie Wayne,1,2/17/18
5/1/18,Main_Page,Mandie Wayne,5,2/17/18
5/1/18,Main_Page,Mandie Wayne,11,2/17/18
5/1/18,Article:Conflict_Tracker,Mandie Wayne,1,2/17/18
